center,left,right,steering,throttle,something,speed
IMG/center_2017_02_05_03_01_08_092.jpg, IMG/left_2017_02_05_03_01_08_092.jpg, IMG/right_2017_02_05_03_01_08_092.jpg,0,0,0,7.83E-05
IMG/center_2017_02_05_03_01_08_194.jpg, IMG/left_2017_02_05_03_01_08_194.jpg, IMG/right_2017_02_05_03_01_08_194.jpg,0,0,0,7.81E-05
IMG/center_2017_02_05_03_01_08_296.jpg, IMG/left_2017_02_05_03_01_08_296.jpg, IMG/right_2017_02_05_03_01_08_296.jpg,0,0,0,7.83E-05
IMG/center_2017_02_05_03_01_08_400.jpg, IMG/left_2017_02_05_03_01_08_400.jpg, IMG/right_2017_02_05_03_01_08_400.jpg,0,0,0,7.76E-05
IMG/center_2017_02_05_03_01_08_512.jpg, IMG/left_2017_02_05_03_01_08_512.jpg, IMG/right_2017_02_05_03_01_08_512.jpg,0,0,0,7.81E-05
IMG/center_2017_02_05_03_01_08_614.jpg, IMG/left_2017_02_05_03_01_08_614.jpg, IMG/right_2017_02_05_03_01_08_614.jpg,0,0,0,7.81E-05
IMG/center_2017_02_05_03_01_08_718.jpg, IMG/left_2017_02_05_03_01_08_718.jpg, IMG/right_2017_02_05_03_01_08_718.jpg,0,0,0,8.06E-05
IMG/center_2017_02_05_03_01_08_820.jpg, IMG/left_2017_02_05_03_01_08_820.jpg, IMG/right_2017_02_05_03_01_08_820.jpg,0,0,0,7.92E-05
IMG/center_2017_02_05_03_01_08_922.jpg, IMG/left_2017_02_05_03_01_08_922.jpg, IMG/right_2017_02_05_03_01_08_922.jpg,0,0,0,7.81E-05
IMG/center_2017_02_05_03_01_09_026.jpg, IMG/left_2017_02_05_03_01_09_026.jpg, IMG/right_2017_02_05_03_01_09_026.jpg,0,0,0,8.08E-05
IMG/center_2017_02_05_03_01_09_132.jpg, IMG/left_2017_02_05_03_01_09_132.jpg, IMG/right_2017_02_05_03_01_09_132.jpg,0,0.175341,0,0.1746165
